"Gencode Id","Gene Symbol","Median TPM"
"ENSG00000248527.1","MTATP6P1","7311.2"
"ENSG00000087086.14","FTL","2881.0"
"ENSG00000130203.9","APOE","1593.5"
"ENSG00000225630.1","MTND2P28","1568.0"
"ENSG00000154146.12","NRGN","1400.8"
"ENSG00000166165.12","CKB","1293.0"
"ENSG00000131771.13","PPP1R1B","1254.7"
"ENSG00000120885.21","CLU","1243.1"
"ENSG00000034510.5","TMSB10","1213.0"
"ENSG00000131095.12","GFAP","1203.6"
"ENSG00000075624.13","ACTB","1181.2"
"ENSG00000107317.12","PTGDS","1146.6"
"ENSG00000111640.14","GAPDH","1073.6"
"ENSG00000152583.12","SPARCL1","1041.4"
"ENSG00000087250.8","MT3","985.8"
"ENSG00000143933.16","CALM2","899.5"
"ENSG00000109472.13","CPE","865.1"
"ENSG00000121905.9","HPCA","825.3"
"ENSG00000183036.10","PCP4","820.2"
"ENSG00000089220.4","PEBP1","812.9"
"ENSG00000142534.6","RPS11","786.0"
"ENSG00000205542.10","TMSB4X","768.5"
"ENSG00000231500.6","RPS18","750.9"
"ENSG00000167996.15","FTH1","737.9"
"ENSG00000142541.16","RPL13A","729.7"
"ENSG00000123560.13","PLP1","720.8"
"ENSG00000127585.11","FBXL16","673.2"
"ENSG00000112306.7","RPS12","656.6"
"ENSG00000177954.11","RPS27","651.8"
"ENSG00000178531.5","CTXN1","647.1"
"ENSG00000197746.13","PSAP","633.1"
"ENSG00000156508.17","EEF1A1","629.5"
"ENSG00000074800.13","ENO1","626.0"
"ENSG00000101439.8","CST3","619.9"
"ENSG00000135916.15","ITM2C","617.1"
"ENSG00000184009.9","ACTG1","613.7"
"ENSG00000160014.16","CALM3","586.6"
"ENSG00000162734.12","PEA15","585.2"
"ENSG00000118181.10","RPS25","563.8"
"ENSG00000198668.10","CALM1","557.0"
"ENSG00000018625.14","ATP1A2","555.4"
"ENSG00000165795.23","NDRG2","550.3"
"ENSG00000020129.15","NCDN","543.9"
"ENSG00000108298.9","RPL19","525.8"
"ENSG00000137818.11","RPLP1","512.6"
"ENSG00000080824.18","HSP90AA1","509.1"
"ENSG00000163682.15","RPL9","491.4"
"ENSG00000100316.15","RPL3","482.1"
"ENSG00000176533.12","GNG7","468.5"
"ENSG00000111775.2","COX6A1","466.2"
"ENSG00000183379.8","SYNDIG1L","461.9"
"ENSG00000110436.11","SLC1A2","460.3"
"ENSG00000197971.14","MBP","456.4"
"ENSG00000105193.8","RPS16","455.7"
"ENSG00000104904.12","OAZ1","452.6"
"ENSG00000167658.15","EEF2","448.6"
"ENSG00000147403.16","RPL10","447.0"
"ENSG00000156298.12","TSPAN7","446.1"
"ENSG00000168653.10","NDUFS5","437.8"
"ENSG00000111716.12","LDHB","428.4"
"ENSG00000096384.19","HSP90AB1","428.0"
"ENSG00000108953.16","YWHAE","427.3"
"ENSG00000109107.13","ALDOC","426.8"
"ENSG00000254772.9","EEF1G","412.5"
"ENSG00000154277.12","UCHL1","407.6"
"ENSG00000114391.12","RPL24","395.7"
"ENSG00000122406.12","RPL5","384.4"
"ENSG00000174444.14","RPL4","381.7"
"ENSG00000132639.12","SNAP25","379.1"
"ENSG00000102109.8","PCSK1N","378.7"
"ENSG00000136942.14","RPL35","378.1"
"ENSG00000156976.16","EIF4A2","374.1"
"ENSG00000143947.13","RPS27A","372.5"
"ENSG00000021300.13","PLEKHB1","370.6"
"ENSG00000168309.16","FAM107A","368.1"
"ENSG00000149925.17","ALDOA","362.4"
"ENSG00000166681.13","BEX3","361.2"
"ENSG00000161016.17","RPL8","360.6"
"ENSG00000176340.3","COX8A","353.8"
"ENSG00000177600.8","RPLP2","352.6"
"ENSG00000168028.13","RPSA","346.8"
"ENSG00000067225.17","PKM","345.4"
"ENSG00000063180.8","CA11","345.4"
"ENSG00000172270.18","BSG","344.7"
"ENSG00000122026.10","RPL21","337.0"
"ENSG00000167552.13","TUBA1A","336.0"
"ENSG00000160307.9","S100B","334.3"
"ENSG00000140988.15","RPS2","332.5"
"ENSG00000113140.10","SPARC","330.0"
"ENSG00000105701.15","FKBP8","329.6"
"ENSG00000109475.16","RPL34","329.3"
"ENSG00000137154.12","RPS6","328.5"
"ENSG00000110700.6","RPS13","326.6"
"ENSG00000133169.5","BEX1","325.2"
"ENSG00000155980.11","KIF5A","320.3"
"ENSG00000135821.17","GLUL","318.5"
"ENSG00000178980.14","SELENOW","315.7"
"ENSG00000166033.11","HTRA1","314.5"
"ENSG00000050165.17","DKK3","313.4"
"ENSG00000180354.15","MTURN","312.4"
